"key","translation","context"
"meta.hero.catch.1","A space [tailor made] for someone like you","Hero text to catch focus with brackets surrounding keywords"
"meta.hero.catch.2","make a profile that's as unique as you are display all your favourite things and share your most real self with the world","Secondary hero text"
"meta.hero.feature.1.title","Anonymous","Hero feature 1 title"
"meta.hero.feature.1.text","we don't store nor really care about any personal information so you can be yourself freely.","Hero feature 1 text"
"meta.hero.feature.2.title","Free + open source","Hero feature 2 title"
"meta.hero.feature.2.text","never pay for anything and feel free to change things you don't like.","Hero feature 2 text"
"meta.cta.1","Create","Create button text"
"meta.error.404.title","uh... we checked and no one lives here right now","404 error title"
"meta.error.404.button","want to go home?","404 error button text"
"login.username.label","Username","Username label"
"login.username.description","the username tied to your account. not your display name!","Username description"
"login.password.label","Password","Password label"
"login.password.description","your most super secret password","Password description"
"login.register","Register","Register button text"
"login.login","Login","Login button text"
"user.avatar.default","Avatar of %s","Alt text of avatar without ring"
"user.avatar.ring","Avatar of %s with %s ring","Alt text of avatar with ring (pride flag)"
"user.banner","Banner of %s","Alt text of user banner"
"user.location","From %s","Alt text of location"
"user.flags","Flags","Alt text of flag list"
"user.flags.flag","%s flag","Alt text of specific flag from list"
